Experiment,spite_sigma,comp_sigma,diff_sigma,cost,kd,initial_spite_frequency,spite_expression_prob,average_mean_spite,average_mean_density,average_spite_freq,average_n_individuals
l_d16_c16_s16_cost0.1_kd0.001_init0.5_eprob0.001_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.5,0.001,0.084331654,3.907362e-06,0.16866331,12982.82
l_d16_c16_s16_cost0.1_kd0.001_init0.5_eprob0.01_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.5,0.01,0.034129385,1.7025019e-05,0.06825877,12982.55
l_d16_c16_s16_cost0.1_kd0.001_init0.5_eprob0.05_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.5,0.05,0.4915386,0.0011901174,0.9830772,12627.69
l_d16_c16_s16_cost0.1_kd0.001_init0.5_eprob0.2_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.5,0.2,0.49534515,0.004111653,0.9906903,10689.02
l_d16_c16_s32_cost0.1_kd0.001_init0.5_eprob0.001_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.5,0.001,0.081697844,4.280329e-06,0.16339569,12984.43
l_d16_c16_s32_cost0.1_kd0.001_init0.5_eprob0.01_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.5,0.01,0.03192106,1.5466807e-05,0.06384212,12983.23
l_d16_c16_s32_cost0.1_kd0.001_init0.5_eprob0.05_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.5,0.05,0.49026486,0.0011839925,0.9805297,12619.73
l_d16_c16_s32_cost0.1_kd0.001_init0.5_eprob0.2_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.5,0.2,0.49544457,0.004061785,0.99088913,10713.82
l_d16_c16_s4_cost0.1_kd0.001_init0.5_eprob0.001_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.5,0.001,0.07433341,4.3336277e-06,0.14866681,12979.77
l_d16_c16_s4_cost0.1_kd0.001_init0.5_eprob0.01_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.5,0.01,0.031540543,1.931546e-05,0.063081086,12985.73
l_d16_c16_s4_cost0.1_kd0.001_init0.5_eprob0.05_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.5,0.05,0.49095526,0.001418848,0.9819105,12629.49
l_d16_c16_s4_cost0.1_kd0.001_init0.5_eprob0.2_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.001,0.5,0.2,0.49494717,0.0050400407,0.98989433,10718.29
l_d16_c16_s64_cost0.1_kd0.001_init0.5_eprob0.001_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.5,0.001,0.07417886,3.6249849e-06,0.14835772,12988.0
l_d16_c16_s64_cost0.1_kd0.001_init0.5_eprob0.01_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.5,0.01,0.037618488,1.8845032e-05,0.075236976,12981.17
l_d16_c16_s64_cost0.1_kd0.001_init0.5_eprob0.05_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.5,0.05,0.4904296,0.0011800348,0.9808592,12624.85
l_d16_c16_s64_cost0.1_kd0.001_init0.5_eprob0.2_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.001,0.5,0.2,0.4952444,0.0040469803,0.9904888,10699.73
l_d16_c16_s8_cost0.1_kd0.001_init0.5_eprob0.001_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.5,0.001,0.07842709,3.8436165e-06,0.15685418,12980.16
l_d16_c16_s8_cost0.1_kd0.001_init0.5_eprob0.01_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.5,0.01,0.036193505,1.8576537e-05,0.07238701,12978.32
l_d16_c16_s8_cost0.1_kd0.001_init0.5_eprob0.05_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.5,0.05,0.4909101,0.0012338598,0.9818202,12628.23
l_d16_c16_s8_cost0.1_kd0.001_init0.5_eprob0.2_resTrue_kc0.05,8.0,16.0,16.0,0.1,0.001,0.5,0.2,0.49525085,0.00429304,0.9905017,10703.2
l_d16_c32_s16_cost0.1_kd0.001_init0.5_eprob0.001_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.5,0.001,0.060641564,2.6042667e-06,0.12128313,12957.31
l_d16_c32_s16_cost0.1_kd0.001_init0.5_eprob0.01_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.5,0.01,0.035977334,1.8310024e-05,0.07195467,12953.98
l_d16_c32_s16_cost0.1_kd0.001_init0.5_eprob0.05_resTrue_kc0.05,16.0,32.0,16.0,0.1,0.001,0.5,0.05,0.49079105,0.0011971358,0.9815821,12610.8
