Experiment,spite_sigma,comp_sigma,diff_sigma,cost,kd,initial_spite_frequency,spite_expression_prob,average_mean_spite,average_mean_density,average_spite_freq,average_n_individuals
l_d16_c16_s16_cost0.01_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,16.0,16.0,16.0,0.01,0.001,0.02,0.001,0.27915636,1.3006359e-05,0.5583127,12986.22
l_d16_c16_s16_cost0.01_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,16.0,16.0,16.0,0.01,0.001,0.02,0.01,0.08067209,4.102661e-05,0.16134419,12968.55
l_d16_c16_s16_cost0.01_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,16.0,16.0,16.0,0.01,0.001,0.02,0.05,0.010532963,2.6489251e-05,0.021065926,12977.42
l_d16_c16_s16_cost0.01_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,16.0,16.0,16.0,0.01,0.001,0.02,0.2,0.002640393,2.6738528e-05,0.005280786,12982.1
l_d16_c16_s16_cost0.01_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,16.0,16.0,16.0,0.01,0.001,0.25,0.001,0.21203838,1.03283855e-05,0.42407677,12991.4
l_d16_c16_s16_cost0.01_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,16.0,16.0,16.0,0.01,0.001,0.25,0.01,0.06483503,3.195483e-05,0.12967005,12974.38
l_d16_c16_s16_cost0.01_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,16.0,16.0,16.0,0.01,0.001,0.25,0.05,0.012426878,3.0316045e-05,0.024853757,12982.09
l_d16_c16_s16_cost0.01_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,16.0,16.0,16.0,0.01,0.001,0.25,0.2,0.0027504156,2.6411604e-05,0.005500831,12980.44
l_d16_c16_s16_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.02,0.001,0.078869514,3.921777e-06,0.15773903,12978.01
l_d16_c16_s16_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.02,0.01,0.038187392,1.88088e-05,0.076374784,12975.21
l_d16_c16_s16_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.02,0.05,0.010220256,2.5475625e-05,0.020440511,12982.79
l_d16_c16_s16_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.02,0.2,0.00251555,2.5389616e-05,0.0050311,12975.23
l_d16_c16_s16_cost0.1_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.25,0.001,0.07709798,3.8324347e-06,0.15419596,12985.75
l_d16_c16_s16_cost0.1_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.25,0.01,0.038086336,1.9040577e-05,0.07617267,12980.29
l_d16_c16_s16_cost0.1_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.25,0.05,0.010689486,2.6350215e-05,0.021378972,12981.12
l_d16_c16_s16_cost0.1_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.001,0.25,0.2,0.0024850455,2.4548026e-05,0.004970091,12977.75
l_d16_c16_s32_cost0.01_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,32.0,16.0,16.0,0.01,0.001,0.02,0.001,0.22806333,1.1421605e-05,0.45612666,12989.73
l_d16_c16_s32_cost0.01_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,32.0,16.0,16.0,0.01,0.001,0.02,0.01,0.05584527,2.7007705e-05,0.11169054,12979.14
l_d16_c16_s32_cost0.01_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,32.0,16.0,16.0,0.01,0.001,0.02,0.05,0.009638438,2.4388519e-05,0.019276876,12975.41
l_d16_c16_s32_cost0.01_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,32.0,16.0,16.0,0.01,0.001,0.02,0.2,0.0025963222,2.6167581e-05,0.0051926444,12983.04
l_d16_c16_s32_cost0.01_kd0.001_init0.25_eprob0.001_resTrue_kc0.05,32.0,16.0,16.0,0.01,0.001,0.25,0.001,0.27343228,1.2963044e-05,0.54686457,12989.38
l_d16_c16_s32_cost0.01_kd0.001_init0.25_eprob0.01_resTrue_kc0.05,32.0,16.0,16.0,0.01,0.001,0.25,0.01,0.07361854,3.5513065e-05,0.14723708,12977.37
l_d16_c16_s32_cost0.01_kd0.001_init0.25_eprob0.05_resTrue_kc0.05,32.0,16.0,16.0,0.01,0.001,0.25,0.05,0.010635907,2.7227592e-05,0.021271814,12974.36
l_d16_c16_s32_cost0.01_kd0.001_init0.25_eprob0.2_resTrue_kc0.05,32.0,16.0,16.0,0.01,0.001,0.25,0.2,0.0027281858,2.6595388e-05,0.0054563717,12982.52
l_d16_c16_s32_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.02,0.001,0.091474675,5.2366363e-06,0.18294935,12983.95
l_d16_c16_s32_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.02,0.01,0.038621593,1.9384455e-05,0.07724319,12979.74
l_d16_c16_s32_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.02,0.05,0.009396247,2.2834045e-05,0.018792493,12987.0
l_d16_c16_s32_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.001,0.02,0.2,0.0024847875,2.4985262e-05,0.004969575,12980.93
