Experiment,spite_sigma,comp_sigma,diff_sigma,cost,kd,initial_spite_frequency,spite_expression_prob,average_mean_spite,average_mean_density,average_spite_freq,average_n_individuals
l_d16_c16_s16_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.001,0.02,0.001,0.17496152,4.3036893e-05,0.34992304,64551.94
l_d16_c16_s16_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.001,0.02,0.01,0.49548614,0.0012123472,0.9909723,64103.31
l_d16_c16_s16_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.001,0.02,0.05,0.49887598,0.006000434,0.99775195,62937.41
l_d16_c16_s16_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.001,0.02,0.2,0.0030925346,0.00015106297,0.006185069,64415.0
l_d16_c16_s32_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.001,0.02,0.001,0.12847476,3.1807765e-05,0.2569495,64608.48
l_d16_c16_s32_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.001,0.02,0.01,0.49535674,0.0012081447,0.9907135,64120.44
l_d16_c16_s32_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.001,0.02,0.05,0.49888343,0.00599798,0.99776685,62911.77
l_d16_c16_s32_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.001,0.02,0.2,0.0030116038,0.00014789282,0.0060232077,64444.8
l_d16_c16_s4_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.25,4.0,16.0,16.0,0.1,0.001,0.02,0.001,0.42286465,0.00010962767,0.8457293,64342.46
l_d16_c16_s4_cost0.1_kd0.001_init0.02_eprob0.01_resTrue_kc0.25,4.0,16.0,16.0,0.1,0.001,0.02,0.01,0.49545777,0.0012620788,0.99091554,64098.59
l_d16_c16_s4_cost0.1_kd0.001_init0.02_eprob0.05_resTrue_kc0.25,4.0,16.0,16.0,0.1,0.001,0.02,0.05,0.4987274,0.0062392,0.9974548,62937.07
l_d16_c16_s4_cost0.1_kd0.001_init0.02_eprob0.2_resTrue_kc0.25,4.0,16.0,16.0,0.1,0.001,0.02,0.2,0.0029688207,0.000150864,0.0059376415,64451.02
l_d16_c16_s64_cost0.1_kd0.001_init0.02_eprob0.001_resTrue_kc0.25,64.0,16.0,16.0,0.1,0.001,0.02,0.001,0.13881184,3.3302207e-05,0.27762368,64602.65
