Experiment,spite_sigma,comp_sigma,diff_sigma,cost,kd,initial_spite_frequency,spite_expression_prob,average_mean_spite,average_mean_density,average_spite_freq,average_n_individuals
l_d16_c16_s16_cost0.1_kd0.001_init0.5_eprob0.001_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.001,0.5,0.001,0.42491218,0.00010602545,0.84982437,64346.61
l_d16_c16_s16_cost0.1_kd0.001_init0.5_eprob0.01_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.001,0.5,0.01,0.49548697,0.0012141627,0.99097395,64112.16
l_d16_c16_s16_cost0.1_kd0.001_init0.5_eprob0.05_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.001,0.5,0.05,0.49886245,0.0060078595,0.9977249,62924.32
l_d16_c16_s16_cost0.1_kd0.001_init0.5_eprob0.2_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.001,0.5,0.2,0.49857658,0.020339021,0.99715316,53202.56
l_d16_c16_s16_cost0.1_kd0.005_init0.5_eprob0.001_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.005,0.5,0.001,0.071285196,1.7386763e-05,0.14257039,64710.71
l_d16_c16_s16_cost0.1_kd0.005_init0.5_eprob0.01_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.005,0.5,0.01,0.035833944,8.7825785e-05,0.07166789,64709.15
l_d16_c16_s16_cost0.1_kd0.005_init0.5_eprob0.05_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.005,0.5,0.05,0.49033028,0.0059214556,0.98066056,62910.12
l_d16_c16_s16_cost0.1_kd0.005_init0.5_eprob0.2_resTrue_kc0.25,16.0,16.0,16.0,0.1,0.005,0.5,0.2,0.0025980296,0.00012889908,0.005196059,64696.58
l_d16_c16_s32_cost0.1_kd0.001_init0.5_eprob0.001_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.001,0.5,0.001,0.41249356,9.730893e-05,0.8249871,64363.36
l_d16_c16_s32_cost0.1_kd0.001_init0.5_eprob0.01_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.001,0.5,0.01,0.49556863,0.0012113497,0.99113727,64083.03
l_d16_c16_s32_cost0.1_kd0.001_init0.5_eprob0.05_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.001,0.5,0.05,0.49883378,0.006001314,0.99766755,62890.39
l_d16_c16_s32_cost0.1_kd0.001_init0.5_eprob0.2_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.001,0.5,0.2,0.49858674,0.020222586,0.9971735,53155.04
l_d16_c16_s32_cost0.1_kd0.005_init0.5_eprob0.001_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.005,0.5,0.001,0.07641385,1.9375708e-05,0.1528277,64699.61
l_d16_c16_s32_cost0.1_kd0.005_init0.5_eprob0.01_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.005,0.5,0.01,0.036235396,9.141685e-05,0.07247079,64709.1
l_d16_c16_s32_cost0.1_kd0.005_init0.5_eprob0.05_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.005,0.5,0.05,0.49041364,0.0058846045,0.9808273,62907.06
l_d16_c16_s32_cost0.1_kd0.005_init0.5_eprob0.2_resTrue_kc0.25,32.0,16.0,16.0,0.1,0.005,0.5,0.2,0.002645224,0.00012836559,0.005290448,64711.6
l_d16_c16_s4_cost0.1_kd0.001_init0.5_eprob0.001_resTrue_kc0.25,4.0,16.0,16.0,0.1,0.001,0.5,0.001,0.42098874,0.00010797933,0.8419775,64348.78
l_d16_c16_s4_cost0.1_kd0.001_init0.5_eprob0.01_resTrue_kc0.25,4.0,16.0,16.0,0.1,0.001,0.5,0.01,0.4952574,0.0012506322,0.9905148,64095.18
l_d16_c16_s4_cost0.1_kd0.001_init0.5_eprob0.05_resTrue_kc0.25,4.0,16.0,16.0,0.1,0.001,0.5,0.05,0.4987319,0.0062325555,0.9974638,62912.16
