Experiment,spite_sigma,comp_sigma,diff_sigma,cost,kd,initial_spite_frequency,spite_expression_prob,average_mean_spite,average_mean_density,average_spite_freq,average_n_individuals
l_d16_c16_s16_cost0.1_kd0.002_init0.5_eprob0.001_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.002,0.5,0.001,0.07801328,4.190716e-06,0.15602656,12982.53
l_d16_c16_s16_cost0.1_kd0.002_init0.5_eprob0.01_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.002,0.5,0.01,0.03737745,1.8888482e-05,0.0747549,12988.77
l_d16_c16_s16_cost0.1_kd0.002_init0.5_eprob0.05_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.002,0.5,0.05,0.00862508,2.1846805e-05,0.01725016,12989.9
l_d16_c16_s16_cost0.1_kd0.002_init0.5_eprob0.2_resTrue_kc0.05,16.0,16.0,16.0,0.1,0.002,0.5,0.2,0.0025642556,2.6495858e-05,0.005128511,12981.97
l_d16_c16_s32_cost0.1_kd0.002_init0.5_eprob0.001_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.002,0.5,0.001,0.07538905,3.881832e-06,0.1507781,12986.2
l_d16_c16_s32_cost0.1_kd0.002_init0.5_eprob0.01_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.002,0.5,0.01,0.029790051,1.4958187e-05,0.059580103,12990.43
l_d16_c16_s32_cost0.1_kd0.002_init0.5_eprob0.05_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.002,0.5,0.05,0.009169952,2.2116445e-05,0.018339904,12983.49
l_d16_c16_s32_cost0.1_kd0.002_init0.5_eprob0.2_resTrue_kc0.05,32.0,16.0,16.0,0.1,0.002,0.5,0.2,0.0023600569,2.3942932e-05,0.0047201137,12993.7
l_d16_c16_s4_cost0.1_kd0.002_init0.5_eprob0.001_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.002,0.5,0.001,0.07811699,4.9332016e-06,0.15623398,12983.78
l_d16_c16_s4_cost0.1_kd0.002_init0.5_eprob0.01_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.002,0.5,0.01,0.036917225,2.1951484e-05,0.07383445,12985.75
l_d16_c16_s4_cost0.1_kd0.002_init0.5_eprob0.05_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.002,0.5,0.05,0.009960889,2.8420349e-05,0.019921778,12991.17
l_d16_c16_s4_cost0.1_kd0.002_init0.5_eprob0.2_resTrue_kc0.05,4.0,16.0,16.0,0.1,0.002,0.5,0.2,0.0026160288,2.9176488e-05,0.0052320575,12988.56
l_d16_c16_s64_cost0.1_kd0.002_init0.5_eprob0.001_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.002,0.5,0.001,0.06529414,2.7860474e-06,0.13058828,12986.55
l_d16_c16_s64_cost0.1_kd0.002_init0.5_eprob0.01_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.002,0.5,0.01,0.036608335,1.8485134e-05,0.07321667,12992.24
l_d16_c16_s64_cost0.1_kd0.002_init0.5_eprob0.05_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.002,0.5,0.05,0.009415632,2.3387462e-05,0.018831264,12988.55
l_d16_c16_s64_cost0.1_kd0.002_init0.5_eprob0.2_resTrue_kc0.05,64.0,16.0,16.0,0.1,0.002,0.5,0.2,0.0026467398,2.5808664e-05,0.0052934797,12988.97
