Experiment,spite_sigma,comp_sigma,diff_sigma,cost,average_n_individuals,average_mean_spite,average_max_spite,average_sd_spite,average_mean_density,final_spite_10_quantile,final_spite_25_quantile,final_spite_50_quantile,final_spite_75_quantile,final_spite_90_quantile
d16_c16_s16_cost0.005,16.0,16.0,16.0,0.005,12991.59198,-0.75034136,0.31532732,0.47776845,0.00075572816,-0.9000000953674316,-0.7500001192092896,-0.6500000953674316,-0.5000000596046448,-0.20000000298023224
d16_c16_s32_cost0.005,32.0,16.0,16.0,0.005,12993.663753333334,-0.88140094,0.09548403,0.4440092,0.00053513004,-1.3499997854232788,-1.0000001192092896,-0.7000000476837158,-0.44999998807907104,-0.2999999523162842
d16_c16_s4_cost0.005,4.0,16.0,16.0,0.005,12988.917433333334,-0.34680834,0.40016538,0.3028941,0.0010931665,-1.149999976158142,-0.7000000476837158,-0.5,-0.19999995827674866,0.050000037997961044
d16_c16_s64_cost0.005,64.0,16.0,16.0,0.005,12989.766146666667,-0.33184743,0.38418,0.3004128,0.0009626109,-1.149999976158142,-1.0375000834465027,-0.8500000834465027,-0.44999998807907104,-0.1499999612569809
d16_c16_s8_cost0.005,8.0,16.0,16.0,0.005,12997.970966666666,-1.3179677,-0.03156097,0.6280015,3.4497032e-05,-3.0999982357025146,-2.899998426437378,-2.1999990940093994,-1.6499994993209839,-0.6500000357627869
d16_c32_s16_cost0.005,16.0,32.0,16.0,0.005,12950.69226,-0.29488525,0.47673905,0.33678016,0.0016957093,-0.9000000953674316,-0.44999998807907104,-0.19999995827674866,3.6507845635469494e-08,0.2500000298023224
d16_c32_s32_cost0.005,32.0,32.0,16.0,0.005,12963.322093333334,-1.0659221,-0.061574634,0.39995295,5.433675e-05,-2.349998950958252,-1.5499995946884155,-1.2499998807907104,-1.100000023841858,-0.9500001072883606
d16_c32_s4_cost0.005,4.0,32.0,16.0,0.005,12960.095346666667,-0.82934815,0.14868209,0.479959,0.00047728908,-1.8999992609024048,-1.399999737739563,-1.0000001192092896,-0.6000000238418579,-0.24999995529651642
d16_c32_s64_cost0.005,64.0,32.0,16.0,0.005,12963.284573333332,-1.479276,-0.4061494,0.46549854,5.3663545e-05,-3.149998188018799,-2.7499985694885254,-1.7499995231628418,-1.5999996662139893,-1.4499998092651367
d16_c32_s8_cost0.005,8.0,32.0,16.0,0.005,12961.055146666667,-0.7578255,0.23700404,0.42088974,0.00030547194,-1.4499996900558472,-1.149999976158142,-1.0000001192092896,-0.2999999523162842,-0.09999996423721313
d16_c4_s16_cost0.005,16.0,4.0,16.0,0.005,14996.489466666666,-0.7981275,0.29203996,0.62847763,0.0004585019,-2.1999990940093994,-1.8499994277954102,-0.9500001072883606,-0.05000000819563866,0.09999999403953552
d16_c4_s32_cost0.005,32.0,4.0,16.0,0.005,15008.752573333333,-1.2642155,0.046285365,0.5998393,0.00022658384,-2.099999189376831,-1.949999213218689,-1.799999475479126,-1.4999996423721313,-0.7000000476837158
d16_c4_s4_cost0.005,4.0,4.0,16.0,0.005,14846.993153333333,-0.29072586,0.76469636,0.38542736,0.0035455534,-0.550000011920929,-0.3999999761581421,-0.24999995529651642,-0.049999963492155075,0.15000003576278687
d16_c4_s64_cost0.005,64.0,4.0,16.0,0.005,14995.000266666666,-1.0063468,0.36245066,0.6619327,0.00049406156,-2.599998712539673,-1.100000023841858,-0.7500000596046448,-0.40000003576278687,-0.15000000596046448
d16_c4_s8_cost0.005,8.0,4.0,16.0,0.005,14999.374353333333,-0.9860551,0.19310735,0.4701293,0.00041188265,-2.4499988555908203,-1.8999992609024048,-1.5999995470046997,-1.0000001192092896,-0.7500000596046448
d16_c64_s16_cost0.005,16.0,64.0,16.0,0.005,12946.362553333332,-0.519503,0.36904535,0.44317386,0.0006538829,-1.149999976158142,-0.8000001311302185,-0.40000003576278687,-0.10000000894069672,0.04999999329447746
