Experiment,spite_sigma,comp_sigma,diff_sigma,cost,average_n_individuals,average_mean_spite,average_max_spite,average_sd_spite,average_mean_density,final_spite_10_quantile,final_spite_25_quantile,final_spite_50_quantile,final_spite_75_quantile,final_spite_90_quantile
d16_c4_s4_cost0.005_resTrue,4.0,4.0,16.0,0.005,14697.808666666666,8.151986,8.904916,0.3075184,0.53538316,9.550018310546875,9.650018692016602,9.900019645690918,10.050020217895508,10.250020980834961
d16_c4_s4_cost0.1_resTrue,4.0,4.0,16.0,0.1,14675.803193333333,0.48761854,0.8577446,0.103350975,0.03198771,0.3500000238418579,0.40000003576278687,0.5000000596046448,0.5500000715255737,0.6500000953674316
d16_c4_s4_cost1_resTrue,4.0,4.0,16.0,1.0,15020.329206666667,-0.70339936,0.006771012,0.31272706,2.5928082e-06,-1.1999999284744263,-0.9000000953674316,-0.7000000476837158,-0.5,-0.2999999523162842
d16_c4_s8_cost0.005_resTrue,8.0,4.0,16.0,0.005,14722.968006666666,7.8503194,8.575966,0.2930195,0.45807022,8.900015830993652,9.100016593933105,9.250017166137695,9.450017929077148,9.700018882751465
d16_c4_s8_cost0.1_resTrue,8.0,4.0,16.0,0.1,14690.265073333334,0.49245963,0.86437523,0.10301279,0.028679345,0.3500000238418579,0.40000003576278687,0.5000000596046448,0.5500000715255737,0.6500000953674316
d16_c4_s8_cost1_resTrue,8.0,4.0,16.0,1.0,15019.947413333333,-1.0063742,-0.16380432,0.3293623,1.837966e-06,-2.1499991416931152,-1.9999991655349731,-1.699999451637268,-1.4499996900558472,-1.2999998331069946
d16_c8_s4_cost0.005_resTrue,4.0,8.0,16.0,0.005,13195.343766666667,7.2082534,7.9282956,0.29388905,0.43178108,7.850011825561523,8.150012969970703,8.7000150680542,8.900015830993652,9.050016403198242
d16_c8_s4_cost0.1_resTrue,4.0,8.0,16.0,0.1,13178.745126666667,0.44424188,0.80251455,0.10315005,0.026585542,0.30000001192092896,0.3500000238418579,0.40000003576278687,0.5000000596046448,0.5500000715255737
d16_c8_s4_cost1_resTrue,4.0,8.0,16.0,1.0,13342.735413333334,-0.761321,-0.048784982,0.30794287,1.3909587e-06,-1.1999999284744263,-0.9500001072883606,-0.8000000715255737,-0.6500000357627869,-0.34999996423721313
d16_c8_s8_cost0.005_resTrue,8.0,8.0,16.0,0.005,13204.801873333334,7.0920925,7.765846,0.27603254,0.37249446,7.550010681152344,7.850011825561523,8.300013542175293,8.55001449584961,8.7000150680542
d16_c8_s8_cost0.1_resTrue,8.0,8.0,16.0,0.1,13183.547466666667,0.45280668,0.8182338,0.10333538,0.02374765,0.3500000238418579,0.40000003576278687,0.4500000476837158,0.5500000715255737,0.6000000834465027
d16_c8_s8_cost1_resTrue,8.0,8.0,16.0,1.0,13342.76704,-0.7140169,0.005548673,0.33965752,2.751861e-06,-1.3499997854232788,-1.1999999284744263,-1.0500000715255737,-0.8500000834465027,-0.6500000953674316
d1_c4_s4_cost0.005_resTrue,4.0,4.0,1.0,0.005,14385.834573333334,6.597309,7.6147842,0.43074948,0.40539858,7.600010871887207,7.80001163482666,8.150012969970703,8.40001392364502,8.650014877319336
d1_c4_s4_cost0.1_resTrue,4.0,4.0,1.0,0.1,14311.53524,0.5581551,1.1202877,0.16057357,0.034164578,0.3500000238418579,0.40000003576278687,0.5000000596046448,0.6000000834465027,0.7500001192092896
d1_c4_s4_cost1_resTrue,4.0,4.0,1.0,1.0,14604.089113333333,-0.87565565,0.05780302,0.46368656,6.4868123e-06,-1.399999737739563,-1.100000023841858,-0.7000000476837158,-0.44999998807907104,-0.2999999523162842
d1_c4_s8_cost0.005_resTrue,8.0,4.0,1.0,0.005,14394.501686666667,6.375852,7.267908,0.37232074,0.3545216,7.850011825561523,8.10001277923584,8.500014305114746,8.850015640258789,9.000016212463379
d1_c4_s8_cost0.1_resTrue,8.0,4.0,1.0,0.1,14290.895186666667,0.62234783,1.1453683,0.15711287,0.034366652,0.4500000476837158,0.5500000715255737,0.6500000953674316,0.7500001192092896,0.8500001430511475
