Experiment,spite_sigma,comp_sigma,diff_sigma,cost,average_n_individuals,average_mean_spite,average_max_spite,average_sd_spite,average_mean_density,final_spite_10_quantile,final_spite_25_quantile,final_spite_50_quantile,final_spite_75_quantile,final_spite_90_quantile
d16_c4_s4_cost0.005,4.0,4.0,16.0,0.005,15019.33428,-0.7231064,0.019265039,0.31078184,1.2955322e-05,-2.099999189376831,-1.399999737739563,-0.7000000476837158,-0.3999999761581421,-0.24999995529651642
d16_c4_s8_cost0.005,8.0,4.0,16.0,0.005,15019.074033333334,-1.6683047,-0.30853605,0.6101581,1.59895e-05,-2.699998617172241,-2.4999988079071045,-2.349998950958252,-2.1999990940093994,-1.8499994277954102
d16_c8_s4_cost0.005,4.0,8.0,16.0,0.005,13342.751166666667,-1.2683915,-0.4659287,0.3615485,1.7103092e-07,-1.5499995946884155,-1.3499997854232788,-1.0000001192092896,-0.5,-0.3999999761581421
d16_c8_s8_cost0.005,8.0,8.0,16.0,0.005,13342.803953333334,-1.129967,-0.15776697,0.45611495,3.8114185e-06,-1.0000001192092896,-0.8000000715255737,-0.6500000357627869,-0.44999998807907104,-0.24999995529651642
d1_c4_s4_cost0.005,4.0,4.0,1.0,0.005,14603.54722,-1.4742204,0.06438102,0.85890585,1.4015234e-05,-2.599998712539673,-2.2999989986419678,-1.2499998807907104,-0.6000000238418579,-0.19999995827674866
d1_c4_s8_cost0.005,8.0,4.0,1.0,0.005,14600.209613333333,-1.3415455,0.1592474,0.6990686,0.000105085244,-1.799999475479126,-1.499999761581421,-1.2000000476837158,-0.8500002026557922,-0.6500001549720764
d1_c8_s4_cost0.005,4.0,8.0,1.0,0.005,13317.479006666666,-1.615686,-0.34100375,0.5568395,2.5818863e-06,-2.899998426437378,-2.1499991416931152,-1.799999475479126,-1.399999737739563,-0.8500002026557922
d1_c8_s8_cost0.005,8.0,8.0,1.0,0.005,13316.629506666666,-1.1473615,-0.00831632,0.5271478,4.362606e-05,-2.349998950958252,-1.8999992609024048,-1.5499995946884155,-1.2499998807907104,-1.100000023841858
d2_c4_s4_cost0.005,4.0,4.0,2.0,0.005,14812.592913333334,-0.6306062,0.09916202,0.3143296,3.0912808e-05,-1.399999737739563,-1.2499998807907104,-0.9000000953674316,-0.40000003576278687,-0.15000000596046448
d2_c4_s8_cost0.005,8.0,4.0,2.0,0.005,14812.104153333334,-1.3040769,-0.014522305,0.5189792,4.988701e-05,-2.699998617172241,-2.2999989986419678,-1.8999993801116943,-1.6499994993209839,-1.149999976158142
d2_c8_s4_cost0.005,4.0,8.0,2.0,0.005,13343.536533333334,-0.6195973,0.09628668,0.3278775,2.1682396e-05,-0.9500001072883606,-0.8000000715255737,-0.550000011920929,-0.24999995529651642,-0.1499999612569809
d2_c8_s8_cost0.005,8.0,8.0,2.0,0.005,13342.904993333334,-0.6706358,0.14410333,0.3509874,5.991324e-05,-1.399999737739563,-1.1999999284744263,-0.9500001072883606,-0.550000011920929,-0.1499999612569809
d4_c4_s4_cost0.005,4.0,4.0,4.0,0.005,14915.09656,-1.0188061,-0.050211973,0.39779255,1.0677201e-05,-1.399999737739563,-1.100000023841858,-0.8500000834465027,-0.6000000238418579,-0.34999996423721313
d4_c4_s8_cost0.005,8.0,4.0,4.0,0.005,14914.502173333334,-0.8862842,-0.046136633,0.32539922,2.7887427e-05,-0.9500001072883606,-0.8000000715255737,-0.7000000476837158,-0.550000011920929,-0.3999999761581421
d4_c8_s4_cost0.005,4.0,8.0,4.0,0.005,13334.625286666667,-1.5542144,-0.20163935,0.532773,4.618594e-06,-2.8499984741210938,-2.649998664855957,-2.349998950958252,-2.099999189376831,-1.9999992847442627
d4_c8_s8_cost0.005,8.0,8.0,4.0,0.005,13333.948473333334,-0.83606195,0.0703617,0.40025684,5.359098e-05,-1.5999995470046997,-1.3499997854232788,-1.0500000715255737,-0.6500000357627869,-0.5
d8_c4_s4_cost0.005,4.0,4.0,8.0,0.005,14978.321973333334,-2.156316,-0.34786278,0.8564449,7.177084e-06,-3.699997663497925,-3.5499978065490723,-3.3999979496002197,-3.199998140335083,-0.7500001788139343
d8_c4_s8_cost0.005,8.0,4.0,8.0,0.005,14976.700753333333,-1.0745842,-0.088380344,0.4223896,4.4666816e-05,-2.049999237060547,-1.8999993801116943,-1.6499996185302734,-1.2999998331069946,-1.1999999284744263
d8_c8_s4_cost0.005,4.0,8.0,8.0,0.005,13327.78608,-0.9718328,-0.09450998,0.42216274,1.1698587e-05,-1.8999993801116943,-1.799999475479126,-1.6499996185302734,-1.499999761581421,-1.2999999523162842
d8_c8_s8_cost0.005,8.0,8.0,8.0,0.005,13328.058546666667,-1.7335873,-0.7500779,0.4076036,1.9272152e-10,-2.4999988079071045,-2.349998950958252,-2.1499991416931152,-1.799999475479126,-1.6499996185302734
